id_recoleccion;fecha;hora;peso;puntos;material_id;predio_id
1;2024-02-15;16:00:00;2,00;1;5;39
2;2024-02-15;18:00:00;2,00;1;5;40
3;2024-02-15;14:30:00;2,00;1;5;42
4;2024-02-15;9:00:00;2,00;1;5;43
5;2024-04-18;10:30:00;2,00;1;5;100
6;2024-02-15;11:00:00;2,00;1;5;37
7;2024-02-15;10:30:00;2,00;1;5;38
8;2024-07-11;9:00:00;2,00;1;5;46
9;2024-07-11;12:30:00;2,00;1;5;47
10;2024-01-17;10:00:00;2,00;1;5;68
11;2024-02-15;13:30:00;2,00;1;5;72
12;2024-01-5;10:30:00;2,00;1;5;84
13;2024-04-29;16:30:00;2,00;1;5;4
14;2024-07-11;9:00:00;2,00;1;5;61
15;2024-05-11;17:30:00;2,00;1;5;62
16;2024-05-17;8:00:00;2,00;1;5;63
17;2024-03-11;14:00:00;2,00;1;5;79
18;2024-01-23;12:30:00;2,00;1;5;3
19;2024-02-15;14:30:00;2,00;1;5;5
20;2024-02-15;16:30:00;2,00;1;5;6
21;2024-02-15;15:30:00;2,00;1;5;7
22;2024-02-15;18:00:00;2,00;1;5;8
23;2024-02-15;13:30:00;2,00;1;5;9
24;2024-02-15;14:00:00;2,00;1;5;10
25;2024-07-11;9:00:00;2,00;1;5;13
26;2024-04-22;8:00:00;2,00;1;5;14
27;2024-03-12;10:00:00;2,00;1;5;19
28;2024-02-6;10:00:00;2,00;1;5;27
29;2024-02-13;14:00:00;2,00;1;5;28
30;2024-01-5;14:00:00;2,00;1;5;31
31;2024-01-30;18:00:00;2,00;1;5;35
32;2024-02-15;14:30:00;2,00;1;5;37
33;2024-02-15;9:30:00;2,00;1;5;39
34;2024-03-18;9:00:00;2,00;1;5;43
35;2024-02-20;13:00:00;2,00;1;5;46
36;2024-02-26;14:00:00;2,00;1;5;47
37;2024-01-5;13:00:00;2,00;1;5;49
38;2024-01-15;15:00:00;2,00;1;5;50
39;2024-05-11;13:30:00;2,00;1;5;41
40;2024-05-11;17:00:00;2,00;1;5;42
41;2024-04-27;16:00:00;2,00;1;5;72
42;2024-04-19;8:00:00;2,00;1;5;86
43;2024-03-5;12:00:00;2,00;1;5;18
44;2024-04-10;16:00:00;2,00;1;5;7
45;2024-05-23;14:00:00;2,00;1;5;77
46;2024-02-21;13:30:00;2,00;1;5;37
47;2024-09-6;13:30:00;2,00;1;5;56
48;2024-09-24;11:00:00;2,00;1;5;26
49;2024-04-20;17:00:00;2,00;1;5;43
50;2024-03-20;15:30:00;2,00;1;5;56
51;2024-02-26;8:00:00;2,00;1;5;78
52;2024-04-16;12:00:00;2,00;1;5;40
53;2024-03-5;11:30:00;2,00;1;5;70
54;2024-03-13;17:00:00;2,00;1;5;78
55;2024-03-20;16:30:00;2,00;1;5;89
56;2024-03-27;12:30:00;2,00;1;5;95
57;2024-03-27;14:30:00;2,00;1;5;97
58;2024-05-6;8:00:00;2,00;1;5;2
59;2024-05-6;16:30:00;2,00;1;5;5
60;2024-02-23;12:00:00;2,00;1;5;30
61;2024-01-12;15:00:00;2,00;1;5;45
62;2024-01-9;15:30:00;2,00;1;5;43
63;2024-10-10;13:30:00;2,00;1;5;1
64;2024-10-10;12:00:00;2,00;1;5;8
65;2024-09-21;13:00:00;2,00;1;5;33
66;2024-09-28;17:30:00;2,00;1;5;41
67;2024-09-18;8:00:00;2,00;1;5;48
68;2024-04-4;9:00:00;2,00;1;5;51
69;2024-06-4;15:30:00;2,00;1;5;80
70;2024-09-17;16:00:00;2,00;1;5;2
71;2024-01-5;18:00:00;2,00;1;5;13
72;2024-01-26;11:30:00;2,00;1;5;33
73;2024-04-27;8:00:00;2,00;1;5;69
74;2024-06-22;9:00:00;2,00;1;5;9
75;2024-04-12;16:00:00;2,00;1;5;29
76;2024-02-15;11:30:00;2,00;1;5;98
77;2024-07-5;13:30:00;2,00;1;5;31
78;2024-07-5;10:00:00;2,00;1;5;33
79;2024-09-6;12:30:00;2,00;1;5;97
80;2024-01-19;14:00:00;2,00;1;5;92
81;2024-04-26;17:00:00;2,00;1;5;86
82;2024-08-26;12:30:00;2,00;1;5;52
83;2024-04-30;17:30:00;2,00;1;5;70
84;2024-04-23;12:00:00;2,00;1;5;79
85;2024-03-5;15:00:00;2,00;1;5;89
86;2024-06-21;15:30:00;2,00;1;5;31
87;2024-05-24;17:30:00;2,00;1;5;59
88;2024-05-27;9:00:00;2,00;1;5;68
89;2024-05-31;8:30:00;2,00;1;5;75
90;2024-05-3;10:00:00;2,00;1;5;86
91;2024-05-6;12:00:00;2,00;1;5;91
92;2024-05-10;14:00:00;2,00;1;5;2
93;2024-05-14;16:30:00;2,00;1;5;9
94;2024-05-14;15:00:00;2,00;1;5;10
95;2024-05-20;8:00:00;2,00;1;5;19
96;2024-05-20;14:30:00;2,00;1;5;20
97;2024-04-23;15:00:00;2,00;1;5;45
98;2024-04-23;9:30:00;2,00;1;5;47
99;2024-02-28;13:00:00;2,00;1;5;50
100;2024-01-24;11:30:00;2,00;1;5;93
101;2024-04-12;15:00:00;2,00;1;5;28
102;2024-05-9;9:00:00;2,00;1;5;24
103;2024-04-10;13:00:00;2,00;1;5;96
104;2024-04-9;12:00:00;2,00;1;5;4
